ID,Qty,Function,Candidate,Revision,Mass,CoM,Interface,Status,Required Evidence,Owner,Gate
HORN-J3,1,Servo output horn or hub for J3,TBD exact manufacturer part,v1-C,TBD,TBD,Motor spline to forearm link,Blocked,"Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection",Mechanical,G2/G3
HORN-J4,1,Servo output horn or hub for J4,TBD exact manufacturer part,v1-C,TBD,TBD,Motor spline to wrist shaft,Blocked,"Manufacturer part number; spline identity; screw; pilot; bolt circle; allowable torque; fit inspection",Mechanical,G2/G3
SHAFT-J1,1,Base-yaw structural shaft,TBD part number,v1-C,TBD,TBD,BR-J1 bearings; HORN-J1 coupling; axial retention,Blocked,"Diameter/material; shoulder geometry; fit; runout; retention; shear/bending/fatigue calculation",Mechanical,G3
SHAFT-J2,1,Shoulder structural shaft,TBD part number,v1-C,TBD,TBD,BR-J2 bearings; HORN-J2 coupling; axial retention,Blocked,"Diameter/material; fit; runout; retention; bending/fatigue calculation",Mechanical,G3
SHAFT-J3,1,Elbow structural shaft,TBD part number,v1-C,TBD,TBD,BR-J3 bearings; HORN-J3 coupling; axial retention,Blocked,"Diameter/material; fit; runout; retention; bending/fatigue calculation",Mechanical,G3
SHAFT-J4,1,Wrist structural shaft,TBD part number,v1-C,TBD,TBD,WR-CARRIER bearings; HORN-J4 coupling; axial retention,Blocked,"Diameter/material; fit; runout; retention; torsion/fatigue calculation",Mechanical,G3
BRG-J1,2,Base-yaw radial/axial reaction bearings,TBD exact part,v1-C,TBD,TBD,SHAFT-J1 and BR-J1 seats,Blocked,"Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review",Mechanical,G3
BRG-J2,2,Shoulder radial/axial reaction bearings,TBD exact part,v1-C,TBD,TBD,SHAFT-J2 and BR-J2 seats,Blocked,"Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review",Mechanical,G3
BRG-J3,2,Elbow radial/axial reaction bearings,TBD exact part,v1-C,TBD,TBD,SHAFT-J3 and BR-J3 seats,Blocked,"Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review",Mechanical,G3
BRG-J4,2,Wrist radial/axial reaction bearings,TBD exact part,v1-C,TBD,TBD,SHAFT-J4 and WR-CARRIER seats,Blocked,"Bearing type/part number; load ratings; fits; preload/endplay; lubrication; contamination review",Mechanical,G3
SPACER-J1,1 set,Base-yaw bearing and horn spacing,TBD part number,v1-C,TBD,TBD,J1 axial stack,Blocked,"Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence",Mechanical,G3
SPACER-J2,1 set,Shoulder bearing and horn spacing,TBD part number,v1-C,TBD,TBD,J2 axial stack,Blocked,"Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence",Mechanical,G3
SPACER-J3,1 set,Elbow bearing and horn spacing,TBD part number,v1-C,TBD,TBD,J3 axial stack,Blocked,"Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence",Mechanical,G3
SPACER-J4,1 set,Wrist bearing and horn spacing,TBD part number,v1-C,TBD,TBD,J4 axial stack,Blocked,"Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence",Mechanical,G3
RET-J1-J4,1 set,Shaft nuts/circlips/retainers,TBD part numbers,v1-C,TBD,TBD,J1-J4 axial retention,Blocked,"Retention method; groove/thread drawings; locking method; service procedure; pull-off test",Mechanical,G3
FAST-STRUCT,1 set,Structural screws/nuts/inserts/washers,TBD part numbers,v1-C,Included in 10 g wiring/fastener budget,TBD measured,Mount/brackets/links/covers,Blocked,"Material/grade; lengths; engagement; torque; locking; access; reuse policy; proof load",Mechanical,G3
GR-GEAR-L,1,Driven gripper gear,TBD part number,v1-C,Included in 10 g gripper budget,TBD measured,"Candidate m=1 mm; z=24; 24 mm equal-gear center distance",Release blocked,"Material; pressure angle; face width; profile shift; backlash; strength; wear; retention; drawing",Mechanical,G3
GR-GEAR-R,1,Passive gripper gear,TBD part number,v1-C,Included in 10 g gripper budget,TBD measured,"Candidate m=1 mm; z=24; ratio -1; 24 mm center distance",Release blocked,"Material; pressure angle; face width; profile shift; backlash; strength; wear; retention; drawing",Mechanical,G3
GR-SHAFT-L,1,Driven jaw shaft,TBD part number,v1-C,TBD,TBD,GR-GEAR-L; left jaw; bearings; M5 transmission,Blocked,"Diameter/material; bearing fits; gear/horn attachment; torsion; retention; pinch review",Mechanical,G3
GR-SHAFT-R,1,Passive jaw shaft,TBD part number,v1-C,TBD,TBD,GR-GEAR-R; right jaw; bearings,Blocked,"Diameter/material; bearing fits; gear attachment; torsion; retention; pinch review",Mechanical,G3
GR-BRG-L,2,Driven jaw shaft bearings,TBD exact part,v1-C,TBD,TBD,GR-SHAFT-L and gripper housing,Blocked,"Part number; ratings; fits; endplay/preload; debris protection; cycle test",Mechanical,G3
GR-BRG-R,2,Passive jaw shaft bearings,TBD exact part,v1-C,TBD,TBD,GR-SHAFT-R and gripper housing,Blocked,"Part number; ratings; fits; endplay/preload; debris protection; cycle test",Mechanical,G3
GR-TRANS,1,Independent M5-to-driven-jaw transmission,TBD horn/coupler part numbers,v1-C,TBD,TBD,M5 spline to GR-SHAFT-L; separate from wrist shaft,Blocked,"Topology; horn/coupler identity; torque path; alignment; backlash; overload behavior; guard",Mechanical,G3
JAW-L,1,Left rigid jaw,TBD part number/material,v1-C,Included in 10 g gripper budget,TBD measured,30 mm nominal pivot-to-tip; mounts to GR-SHAFT-L,Concept only,"Material/section; fasteners; stiffness; contact geometry; pinch edges; proof load",Mechanical,G3
JAW-R,1,Right rigid jaw,TBD part number/material,v1-C,Included in 10 g gripper budget,TBD measured,30 mm nominal pivot-to-tip; mounts to GR-SHAFT-R,Concept only,"Material/section; fasteners; stiffness; contact geometry; pinch edges; proof load",Mechanical,G3
PAD-L,1,Left rectangular contact pad,TBD material/part,v1-C,TBD,TBD,24 x 5 x 8 mm modeled envelope on JAW-L,Model only,"Measured dimensions; material; durometer; friction; compression curve/contact stiffness; adhesive/retention; wear",Mechanical/Test,G3/G6
PAD-R,1,Right rectangular contact pad,TBD material/part,v1-C,TBD,TBD,24 x 5 x 8 mm modeled envelope on JAW-R,Model only,"Measured dimensions; material; durometer; friction; compression curve/contact stiffness; adhesive/retention; wear",Mechanical/Test,G3/G6
HARNESS-ARM,1 set,Five-actuator VDD/GND/DATA harness,TBD part numbers,v1-C,Included in 10 g wiring/fastener budget,TBD measured,TTL multidrop and protected 5 V branches,Blocked,"Pinout; wire gauge/temp/flex; connector identity; polarity keying; strain relief; continuity; bend life",Electrical,G2/G4
CTRL-BENCH,1,Bench communication controller,U2D2 or equivalent study,v1-C,Outside cartridge,TBD,Host USB to arm TTL only,Bench candidate,"Exact hardware; driver/firmware; galvanic and ground review; stable enumeration; watchdog integration",Controls/Electrical,G2
CTRL-MOBILE,1,Mobile arm controller,TBD,v1-C,Outside cartridge,TBD,Robot compute to arm TTL and safety chain,No approved candidate,"Architecture; compute budget; protocol; isolation; mounting; software ownership; failure behavior",Controls/Electrical,G5
PSU-BENCH,1,External regulated 5 V bench source,TBD exact model,v1-C,Outside cartridge,N/A,Default qualification source through protection and disconnect,Required but unselected,"Voltage/current/transient capability; current limiting; grounding; enclosure; calibration; test setup approval",Electrical,G2
REG-SHARED,1,Shared-main-pack arm regulator,TBD buck or buck-boost,v1-C,Outside cartridge,TBD,Robot pack to protected 5 V arm domain,Study only,"Measured pack min/max/transients; topology decision; reverse-current and regenerative behavior; thermal/EMI test",Electrical,G5
PACK-ARM,1,Dedicated arm pack,TBD chemistry/cells/capacity,v1-C,Outside cartridge,TBD,Pack/BMS/charger to protected arm regulator,Study only,"Qualified pack; BMS; charger; enclosure; transport; fault current; runtime; connector; thermal evidence",Electrical,G5
F-MAIN,1,Main arm feeder protection,TBD exact part,v1-C,Outside cartridge,N/A,Source to arm disconnect/regulator,Blocked,"Rating/curve; interrupt capability; conductor/connector coordination; measured startup and fault transients",Electrical,G2/G5
F-BRANCH,5,Per-actuator branch protection,TBD exact parts,v1-C,Outside cartridge,N/A,Protected 5 V to M1-M5,Blocked,"Rating/curve; nuisance-trip test; branch fault isolation; wire/connector coordination",Electrical,G2/G5
SW-DISCONNECT,1,Manual DC-rated arm disconnect,TBD exact part,v1-C,Outside cartridge,N/A,Removes arm actuator VDD without commanding motion,Blocked,"Voltage/current/interrupt rating; accessible placement; open/reset test; no automatic re-arm",Electrical/Safety,G2
ESTOP,1,Physical emergency-stop function,TBD architecture/part,v1-C,Outside cartridge,N/A,Independent motion-authority removal chain,Unreleased,"Hazard analysis; architecture; device/contact ratings; reset behavior; validation; labeling",Safety,G2/G6
BUDGET-SERVOS,1,Five-actuator mass allocation,A/B,v1-C,90 g,From measured assembly,Cartridge mass ledger,Budget verified arithmetically,"Five actual masses and assembled CoM",Mechanical,G3
BUDGET-LINKS,1,Structural link mass allocation,TBD,v1-C,20 g target,From measured assembly,Cartridge mass ledger,Unmeasured target,"Weighed links and measured CoM",Mechanical,G3
BUDGET-BRACKETS,1,Bracket mass allocation,TBD,v1-C,10 g target,From measured assembly,Cartridge mass ledger,Unmeasured target,"Weighed brackets and measured CoM",Mechanical,G3
BUDGET-GRIPPER,1,Gripper mass allocation,TBD,v1-C,10 g target,From measured assembly,Cartridge mass ledger,Unmeasured target,"Weighed complete wrist/gripper and measured CoM",Mechanical,G3
BUDGET-INTERFACE,1,Trunk interface mass allocation,TBD,v1-C,10 g target,From measured assembly,Cartridge mass ledger,Unmeasured target,"Weighed interface and measured CoM",Mechanical,G3
BUDGET-WIRING,1,Wiring and fastener mass allocation,TBD,v1-C,10 g target,From measured assembly,Cartridge mass ledger,Unmeasured target,"Weighed installed harness and hardware; routing record",Mechanical/Electrical,G3
BUDGET-RESERVE,1,Mass-growth reserve,None,v1-C,10 g reserve,Unallocated,Must remain available at release,Planning reserve,"Closed mass ledger showing <=160 g total and disposition of reserve",Systems,G3
