id,group,quantity,unit,item,candidate_or_reference,specification,disposition,status,required_evidence,source,measured_mass_kg,measured_com_m,measured_inertia_kg_m2,hardware_released
ARM-SPACER-J2,arm,1,set,Shoulder bearing and horn spacing,TBD part number,J2 axial stack,NEW_ARM_PART_CANDIDATE,Blocked,Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SPACER-J2,,,,False
ARM-SPACER-J3,arm,1,set,Elbow bearing and horn spacing,TBD part number,J3 axial stack,NEW_ARM_PART_CANDIDATE,Blocked,Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SPACER-J3,,,,False
ARM-SPACER-J4,arm,1,set,Wrist bearing and horn spacing,TBD part number,J4 axial stack,NEW_ARM_PART_CANDIDATE,Blocked,Material; thicknesses; flatness; tolerance stack; no bearing side-load evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SPACER-J4,,,,False
ARM-RET-J1-J4,arm,1,set,Shaft nuts/circlips/retainers,TBD part numbers,J1-J4 axial retention,NEW_ARM_PART_CANDIDATE,Blocked,Retention method; groove/thread drawings; locking method; service procedure; pull-off test,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#RET-J1-J4,,,,False
ARM-FAST-STRUCT,arm,1,set,Structural screws/nuts/inserts/washers,TBD part numbers,Mount/brackets/links/covers,NEW_ARM_PART_CANDIDATE,Blocked,Material/grade; lengths; engagement; torque; locking; access; reuse policy; proof load,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#FAST-STRUCT,,,,False
ARM-GR-GEAR-L,arm,1,each,Driven gripper gear,TBD part number,Candidate m=1 mm; z=24; 24 mm equal-gear center distance,NEW_ARM_PART_CANDIDATE,Release blocked,Material; pressure angle; face width; profile shift; backlash; strength; wear; retention; drawing,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-GEAR-L,,,,False
ARM-GR-GEAR-R,arm,1,each,Passive gripper gear,TBD part number,Candidate m=1 mm; z=24; ratio -1; 24 mm center distance,NEW_ARM_PART_CANDIDATE,Release blocked,Material; pressure angle; face width; profile shift; backlash; strength; wear; retention; drawing,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-GEAR-R,,,,False
ARM-GR-SHAFT-L,arm,1,each,Driven jaw shaft,TBD part number,GR-GEAR-L; left jaw; bearings; M5 transmission,NEW_ARM_PART_CANDIDATE,Blocked,Diameter/material; bearing fits; gear/horn attachment; torsion; retention; pinch review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-SHAFT-L,,,,False
ARM-GR-SHAFT-R,arm,1,each,Passive jaw shaft,TBD part number,GR-GEAR-R; right jaw; bearings,NEW_ARM_PART_CANDIDATE,Blocked,Diameter/material; bearing fits; gear attachment; torsion; retention; pinch review,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-SHAFT-R,,,,False
ARM-GR-BRG-L,arm,2,each,Driven jaw shaft bearings,TBD exact part,GR-SHAFT-L and gripper housing,NEW_ARM_PART_CANDIDATE,Blocked,Part number; ratings; fits; endplay/preload; debris protection; cycle test,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-BRG-L,,,,False
ARM-GR-BRG-R,arm,2,each,Passive jaw shaft bearings,TBD exact part,GR-SHAFT-R and gripper housing,NEW_ARM_PART_CANDIDATE,Blocked,Part number; ratings; fits; endplay/preload; debris protection; cycle test,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-BRG-R,,,,False
ARM-GR-TRANS,arm,1,each,Independent M5-to-driven-jaw transmission,TBD horn/coupler part numbers,M5 spline to GR-SHAFT-L; separate from wrist shaft,NEW_ARM_PART_CANDIDATE,Blocked,Topology; horn/coupler identity; torque path; alignment; backlash; overload behavior; guard,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#GR-TRANS,,,,False
ARM-JAW-L,arm,1,each,Wide tennis jaw L: integral bridge/stem and pad carrier,Custom wide_candidate; replaces narrow 30 mm jaw; no extra jaw ordered,"75 mm open pad gap; bridge [0.012, 0.031, 0.003] m; stem [0.033, 0.008, 0.003] m; pad center X=48 mm; TCP=55 mm; existing 24 mm gear axis spacing; dimensions are simulation only",NEW_ARM_PART_CANDIDATE,Concept only,Material/section; fasteners; stiffness; contact geometry; pinch edges; proof load; wider-finger bending; ground reach; 58 g load and grip qualification,hardware/microduck-arm-v1c/experiments/tennis-return.json#wide_gripper_candidate,,,,False
ARM-JAW-R,arm,1,each,Wide tennis jaw R: integral bridge/stem and pad carrier,Custom wide_candidate; replaces narrow 30 mm jaw; no extra jaw ordered,"75 mm open pad gap; bridge [0.012, 0.031, 0.003] m; stem [0.033, 0.008, 0.003] m; pad center X=48 mm; TCP=55 mm; existing 24 mm gear axis spacing; dimensions are simulation only",NEW_ARM_PART_CANDIDATE,Concept only,Material/section; fasteners; stiffness; contact geometry; pinch edges; proof load; wider-finger bending; ground reach; 58 g load and grip qualification,hardware/microduck-arm-v1c/experiments/tennis-return.json#wide_gripper_candidate,,,,False
ARM-PAD-L,arm,1,each,Left rectangular contact pad,TBD material/part,24 x 5 x 8 mm modeled envelope on JAW-L,NEW_ARM_PART_CANDIDATE,Model only,Measured dimensions; material; durometer; friction; compression curve/contact stiffness; adhesive/retention; wear,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#PAD-L,,,,False
ARM-PAD-R,arm,1,each,Right rectangular contact pad,TBD material/part,24 x 5 x 8 mm modeled envelope on JAW-R,NEW_ARM_PART_CANDIDATE,Model only,Measured dimensions; material; durometer; friction; compression curve/contact stiffness; adhesive/retention; wear,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#PAD-R,,,,False
ARM-HARNESS-ARM,arm,1,set,Five-actuator VDD/GND/DATA harness,TBD part numbers,TTL multidrop and protected 5 V branches,NEW_ARM_PART_CANDIDATE,Blocked,Pinout; wire gauge/temp/flex; connector identity; polarity keying; strain relief; continuity; bend life,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#HARNESS-ARM,,,,False
ARM-CTRL-BENCH,arm,1,each,Bench communication controller,U2D2 or equivalent study,Host USB to arm TTL only,BENCH_ONLY,Bench candidate,Exact hardware; driver/firmware; galvanic and ground review; stable enumeration; watchdog integration,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#CTRL-BENCH,,,,False
ARM-CTRL-MOBILE,arm,1,each,Mobile arm controller,TBD,Robot compute to arm TTL and safety chain,NEW_ARM_PART_CANDIDATE,No approved candidate,Architecture; compute budget; protocol; isolation; mounting; software ownership; failure behavior,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#CTRL-MOBILE,,,,False
ARM-PSU-BENCH,arm,1,each,External regulated 5 V bench source,TBD exact model,Default qualification source through protection and disconnect,BENCH_ONLY,Required but unselected,Voltage/current/transient capability; current limiting; grounding; enclosure; calibration; test setup approval,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#PSU-BENCH,,,,False
ARM-REG-SHARED,arm,1,each,Shared-main-pack arm regulator,TBD buck or buck-boost,Robot pack to protected 5 V arm domain,POWER_ARCHITECTURE_OPTION_NOT_ADDITIVE,Study only,Measured pack min/max/transients; topology decision; reverse-current and regenerative behavior; thermal/EMI test,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#REG-SHARED,,,,False
ARM-PACK-ARM,arm,1,each,Dedicated arm pack,TBD chemistry/cells/capacity,Pack/BMS/charger to protected arm regulator,POWER_ARCHITECTURE_OPTION_NOT_ADDITIVE,Study only,Qualified pack; BMS; charger; enclosure; transport; fault current; runtime; connector; thermal evidence,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#PACK-ARM,,,,False
ARM-F-MAIN,arm,1,each,Main arm feeder protection,TBD exact part,Source to arm disconnect/regulator,NEW_ARM_PART_CANDIDATE,Blocked,Rating/curve; interrupt capability; conductor/connector coordination; measured startup and fault transients,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#F-MAIN,,,,False
ARM-F-BRANCH,arm,5,each,Per-actuator branch protection,TBD exact parts,Protected 5 V to M1-M5,PROTECTION_TRADE_STUDY_NOT_SELECTED,Blocked,Rating/curve; nuisance-trip test; branch fault isolation; wire/connector coordination,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#F-BRANCH,,,,False
ARM-SW-DISCONNECT,arm,1,each,Manual DC-rated arm disconnect,TBD exact part,Removes arm actuator VDD without commanding motion,NEW_ARM_PART_CANDIDATE,Blocked,Voltage/current/interrupt rating; accessible placement; open/reset test; no automatic re-arm,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#SW-DISCONNECT,,,,False
ARM-ESTOP,arm,1,each,Physical emergency-stop function,TBD architecture/part,Independent motion-authority removal chain,NEW_ARM_PART_CANDIDATE,Unreleased,Hazard analysis; architecture; device/contact ratings; reset behavior; validation; labeling,docs/microduck-arm-v1c/ENGINEERING-BOM.csv#ESTOP,,,,False
BASE-ankle_left,microduck_base,1,each,ankle_left,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/ankle_left.stl,,,,False
BASE-ankle_right,microduck_base,1,each,ankle_right,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/ankle_right.stl,,,,False
BASE-banana_pcb_locker,microduck_base,1,each,banana_pcb_locker,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/banana_pcb_locker.stl,,,,False
BASE-bearing_roll,microduck_base,2,each,bearing_roll,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/bearing_roll.stl,,,,False
BASE-foot_left,microduck_base,1,each,foot_left,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/foot_left.stl,,,,False
BASE-foot_right,microduck_base,1,each,foot_right,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/foot_right.stl,,,,False
BASE-hip_l,microduck_base,2,each,hip_l,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/hip_l.stl,,,,False
BASE-left_shell,microduck_base,1,each,left_shell,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/left_shell.stl,,,,False
BASE-leg,microduck_base,2,each,leg,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/leg.stl,,,,False
BASE-power_support,microduck_base,1,each,power_support,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/power_support.stl,,,,False
BASE-right_shell,microduck_base,1,each,right_shell,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/right_shell.stl,,,,False
BASE-seeed_bearing__configuration__22x16x4,microduck_base,8,each,seeed_bearing__configuration__22x16x4,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/seeed_bearing__configuration__22x16x4.stl,,,,False
BASE-seeed_bearing__configuration_default,microduck_base,2,each,seeed_bearing__configuration_default,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/seeed_bearing__configuration_default.stl,,,,False
BASE-sole_left,microduck_base,1,each,sole_left,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/sole_left.stl,,,,False
BASE-sole_right,microduck_base,1,each,sole_right,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/sole_right.stl,,,,False
BASE-trunk_base,microduck_base,1,each,trunk_base,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/trunk_base.stl,,,,False
BASE-upper_leg_left,microduck_base,1,each,upper_leg_left,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/upper_leg_left.stl,,,,False
BASE-upper_leg_right,microduck_base,1,each,upper_leg_right,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/upper_leg_right.stl,,,,False
BASE-upper_leg_rigidity_plate,microduck_base,2,each,upper_leg_rigidity_plate,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/upper_leg_rigidity_plate.stl,,,,False
BASE-yaw2roll,microduck_base,2,each,yaw2roll,Existing MicroDuck part; matching source mesh (not a machining drawing),Counted once per visual mesh instance; collision copies excluded,REUSE_EXISTING_ASSEMBLY_SUBPART,CANDIDATE_UNQUALIFIED,Inspect installed part and drawing revision; dimensions/material/fasteners need physical audit,rlx/rlx/mjlab_microduck/robot/microduck/assets/yaw2roll.stl,,,,False
BASE-LEG-MOTORS,microduck_base,10,each,Five leg servos per leg,Installed DYNAMIXEL XL330 family; exact M288/M077 labels to inspect,hip yaw / hip roll / hip pitch / knee / ankle per leg; existing IDs and calibration retained,REUSE,CANDIDATE_UNQUALIFIED,Photo each label; record ID/model/firmware; do not infer gearbox SKU from xl330.stl,rlx/rlx/mjlab_microduck/robot/microduck/robot_allcollisions_backlash.xml,,,,False
BASE-COMPUTE,microduck_electronics,1,each,Onboard compute,Radxa ZERO 3W reference,Retain installed RAM/storage variant; CSI/USB/power budget must be audited,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-STORAGE,microduck_electronics,1,each,Boot storage,Existing eMMC or microSD,Use installed boot medium; not two new storage devices,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-CONTROL-BOARD,microduck_electronics,1,each,Motor interface and base power board,Existing MicroDuck board; exact revision TBD,Retain leg bus; no assumed spare arm current capacity or ports,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-IMU,microduck_electronics,1,function,Body IMU function,Existing board-integrated or discrete sensor; exact SKU TBD,Reuse existing physical sensor; simulation IMU site is not a part number,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-BATTERY,microduck_electronics,1,each,Main battery pack,Installed pack label required; np_f970 is only a source mesh name,Record chemistry/cell count/voltage/capacity/mass; no guessed battery substitution,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-CHARGER,microduck_electronics,1,each,Battery-compatible charger,Existing qualified matching charger,Off-robot charging; exact pack compatibility required,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
BASE-PACK-PROTECTION,microduck_electronics,1,function,Pack protection/BMS function,Installed protection; topology TBD,May be integrated in pack; do not buy a duplicate BMS by default,REUSE_OR_ASSEMBLY_INCLUDED,CANDIDATE_UNQUALIFIED,Installed inventory and electrical/mechanical qualification,microduck/docs/project/media-bringup.md; local physical inventory required,,,,False
